state,county_name,office,district,candidate,magnitude,party,party_detailed
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,DON BLANKENSHIP,1,CON,CON
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,"JANOS, JAMES G. JESSE VENTURA",1,GRN,GREEN
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,"PIERCE, BROCK",1,NOM,NOM
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
ALASKA,STATEWIDE,US PRESIDENT,FEDERAL,WRITE-IN,1,,
ALASKA,STATEWIDE,US SENATE,ALASKA,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,US SENATE,ALASKA,"GROSS, AL",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,US SENATE,ALASKA,"HOWE, JOHN WAYNE",1,AIP,AIP
ALASKA,STATEWIDE,US SENATE,ALASKA,"SULLIVAN, DAN",1,REP,REPUBLICAN
ALASKA,STATEWIDE,US SENATE,ALASKA,WRITE-IN,1,,
ALASKA,STATEWIDE,US HOUSE,000,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,US HOUSE,000,"GALVIN, ALYSE S.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,US HOUSE,000,"YOUNG, DON",1,REP,REPUBLICAN
ALASKA,STATEWIDE,US HOUSE,000,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00B,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00B,"EADS, EVAN A.",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00B,"MYERS, ROBERT H., JR.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00B,"SANFORD, MARNA L.",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00B,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00D,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00D,"LAMB, THOMAS",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00D,"MAYFIELD, JAMES D. DAN",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00D,"WILSON, DAVID S.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00D,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00F,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00F,"CHRISTIANSEN, GAVIN S.",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00F,"COOPER, JIM",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00F,"HUGHES, SHELLEY",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00F,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00H,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00H,"GAISER, MADELEINE",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00H,"WIELECHOWSKI, BILL",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00H,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00J,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00J,"BEGICH, TOM",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00J,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00L,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00L,"VON IMHOF, NATASHA A.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00L,"CACY, ROSELYNN",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00L,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00M,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00M,"HOLLEMAN, ANDY",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00M,"REVAK, JOSHUA C.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00M,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00N,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00N,"CLIFT, CAROLYN C. CARE",1,NOM,NOM
ALASKA,STATEWIDE,STATE SENATE,00N,"HOLLAND, ROGER",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00N,"JOHNSON, CARL",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00N,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00P,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00P,"MADDEN, GREG",1,AIP,AIP
ALASKA,STATEWIDE,STATE SENATE,00P,"STEVENS, GARY",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00P,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00R,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00R,"STEDMAN, BERT K.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00R,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE SENATE,00T,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE SENATE,00T,"OLSON, DONALD C. DONNY",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE SENATE,00T,"BAKER, THOMAS C.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE SENATE,00T,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,001,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,001,"LEBON, BARTON S. BART",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,001,"QUIST, CHRISTOPHER",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,001,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,002,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,002,"YOUMANS, JEREMIAH A.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,002,"THOMPSON, STEVE M.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,002,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,003,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,003,"PRAX, GLENN M. MIKE",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,003,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,004,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,004,"HOPKINS, GRIER H.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,004,"KURBER, KEITH",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,004,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,005,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,005,"MCKINLEY, KEVIN M.",1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,005,"WOOL, ADAM L.",1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,005,WRITE-IN,1,,
ALASKA,STATEWIDE,STATE HOUSE,006,UNDERVOTE?,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,006,"VERHAGEN, ELIJAH M.",1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,006,"CARLSON, VERNON J.",1,NOM,NOM
