state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
ALASKA,STATE HOUSE,6,CARLSON VERNON J,"CARLSON, VERNON J.",INDEPENDENT,,,
ALASKA,STATE HOUSE,6,RILEY DEBORAH W,"RILEY, DEBORAH W.",INDEPENDENT,,,
ALASKA,STATE HOUSE,6,VERHAGEN ELIJAH M,"VERHAGEN, ELIJAH M.",INDEPENDENT,,,
ALASKA,STATE HOUSE,7,BURTON JAMIN L,"BURTON, JAMIN L.",INDEPENDENT,,,
ALASKA,STATE HOUSE,14,RISINGER MICHAEL W MIKE,"RISINGER, MICHAEL W. MIKE",INDEPENDENT,,,
ALASKA,STATE HOUSE,16,KOHLHAAS SCOTT A,"KOHLHAAS, SCOTT A.",INDEPENDENT,,,
ALASKA,STATE HOUSE,22,NEES DAVID W,"NEES, DAVID W.",ALASKAN INDEPENDENCE PARTY,,,
ALASKA,STATE HOUSE,22,TRIMBLE STEPHEN T,"TRIMBLE, STEPHEN T.",INDEPENDENT,,,
ALASKA,STATE HOUSE,23,HUIT TIMOTHY R,"HUIT, TIMOTHY R.",ALASKAN INDEPENDENCE PARTY,,,
ALASKA,STATE HOUSE,28,FLETCHER BENJAMIN R,"FLETCHER, BENJAMIN R.",INDEPENDENT,,,
ALASKA,STATE HOUSE,29,DALE PAUL D,"DALE, PAUL D.",INDEPENDENT,,,
ALASKA,STATE HOUSE,30,BAISDEN JAMES,"BAISDEN, JAMES",INDEPENDENT,,,
ALASKA,STATE HOUSE,31,COOPER KELLY,"COOPER, KELLY",INDEPENDENT,,,
ALASKA,STATE HOUSE,34,KING EDWARD M ED,"KING, EDWARD M. ED",INDEPENDENT,,,
ALASKA,STATE HOUSE,36,ORTIZ DANIEL H DAN,"ORTIZ, DANIEL H. (DAN)",INDEPENDENT,,,
ALASKA,STATE HOUSE,38,KEPPEL WILLY,"KEPPEL, WILLY",INDEPENDENT,,,
ALASKA,STATE HOUSE,40,PATKOTAK JOSIAH AULLAQSRUAQ,"PATKOTAK, JOSIAH AULLAQSRUAQ",INDEPENDENT,,,
ALASKA,STATE SENATE,00B,EADS EVAN A,"EADS, EVAN A.",INDEPENDENT,,,
ALASKA,STATE SENATE,00B,SANFORD MARNA L,"SANFORD, MARNA L.",INDEPENDENT,,,
ALASKA,STATE SENATE,00D,MAYFIELD JAMES D DAN,"MAYFIELD, JAMES D. DAN",INDEPENDENT,,,
ALASKA,STATE SENATE,00F,CHRISTIANSEN GAVIN S,"CHRISTIANSEN, GAVIN S.",INDEPENDENT,,,
ALASKA,STATE SENATE,00M,HOLLEMAN ANDY,"HOLLEMAN, ANDY",INDEPENDENT,,,
ALASKA,STATE SENATE,00N,CLIFT CAROLYN C CARE,"CLIFT, CAROLYN C. CARE",INDEPENDENT,,,
ALASKA,STATE SENATE,00P,MADDEN GREG,"MADDEN, GREG",ALASKAN INDEPENDENCE PARTY,,,
ALASKA,US PRESIDENT,FEDERAL,BROCK PIERCE,,INDEPENDENT,,,
ALASKA,US PRESIDENT,FEDERAL,DON BLANKENSHIP,DON BLANKENSHIP,CONSTITUTION,,,
ALASKA,US SENATE,ALASKA,HOWE JOHN WAYNE,"HOWE, JOHN WAYNE",ALASKAN INDEPENDENCE PARTY,,,
