state,county_name,contest,office,district,candidate,party_detailed,magnitude,order
NEW JERSEY,BERGEN,Presidential Electors for President and Vice President of the United States (320),US PRESIDENT,FEDERAL,NA,NA,1,1
NEW JERSEY,BERGEN,For United States Senator (325),US SENATE,NEW JERSEY,NA,NA,1,2
NEW JERSEY,BERGEN,For Member of the House of Representatives 5th Congressional District (330),US HOUSE,5,NA,NA,1,3
NEW JERSEY,BERGEN,For Member of the House of Representatives 8th Congressional District (334),US HOUSE,8,NA,NA,1,4
NEW JERSEY,BERGEN,For Member of the House of Representatives 9th Congressional District (338),US HOUSE,9,NA,NA,1,5
NEW JERSEY,CAMDEN,US President,US PRESIDENT,FEDERAL,NA,NA,1,343
NEW JERSEY,CAMDEN,US Senator,US SENATE,NEW JERSEY,NA,NA,1,344
NEW JERSEY,CAMDEN,House of Representatives 1st District,US HOUSE,1,NA,NA,1,345
NEW JERSEY,CAMDEN,House of Representatives 2nd District,US HOUSE,2,NA,NA,1,411
NEW JERSEY,CUMBERLAND,House of Representatives,US HOUSE,2,NA,NA,1,438
NEW JERSEY,CUMBERLAND,President and Vice President,US PRESIDENT,FEDERAL,NA,NA,1,439
NEW JERSEY,CUMBERLAND,United States Senator,US SENATE,NEW JERSEY,NA,NA,1,440
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Joseph r Biden Kamala d Harris Dem,US PRESIDENT,FEDERAL,JOSEPH R BIDEN KAMALA D HARRIS,DEMOCRAT,1,441
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Donald j Trump Michael r Pence Rep,US PRESIDENT,FEDERAL,DONALD J TRUMP MICHAEL R PENCE,REPUBLICAN,1,442
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Roque Rocky De La Fuente Darcy g Richardson all,US PRESIDENT,FEDERAL,ROQUE ROCKY DE LA FUENTE DARCY G RICHARDSON,ALLIANCE,1,443
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Gloria Estela La Riva Sunil Freeman Sal,US PRESIDENT,FEDERAL,GLORIA ESTELA LA RIVA SUNIL FREEMAN,SOCIALISM AND LIBERATION,1,444
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Howie Hawkins Angela Walker Grn,US PRESIDENT,FEDERAL,HOWIE HAWKINS ANGELA WALKE,GREEN,1,445
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Bill Hammons Eric Bodenstab Upa,US PRESIDENT,FEDERAL,BILL HAMMONS ERIC BODENSTAB,UNITY,1,446
NEW JERSEY,ESSEX,Electors of President and Vice President Vote for 1 Don Blankenship William Mohr Con,US PRESIDENT,FEDERAL,DON BLANKENSHIP WILLIAM MOHR,CONSTITUTION,1,447
