election,scope,office,district,magnitude
"2. COUNCIL - NUMBER, SELECTION, TERM TOWN OF BARRINGTON",Barrington,TOWN PROPOSITION 2,,1
3. FINANCIAL TOWN MEETING  LIMITATIONS ON MOTIONS TOWN OF BARRINGTON,Barrington,TOWN PROPOSITION 3,,1
4. POLICE DEPARTMENT  CONSTABLES TOWN OF BARRINGTON,Barrington,TOWN PROPOSITION 4,,1
5. FINANCIAL PROVISIONS  PROPOSED BUDGET TOWN OF BARRINGTON,Barrington,TOWN PROPOSITION 5,,1
6. FINANCIAL TOWN MEETING:  Chapter 7-3 EMERGENCY BUDGET APPROVAL PROCESS TOWN OF BARRINGTON,Barrington,TOWN PROPOSITION 6,,1
Moderator TOWN OF BARRINGTON (29910),Barrington,MODERATOR,,1
School Committee TOWN OF BARRINGTON (29918),Barrington,SCHOOL COMMITTEE,,3
Town Council TOWN OF BARRINGTON (29913),Barrington,TOWN COUNCIL,,3
2. CHANGING TITLE OF TOWN ADMINISTRATOR TO MAYOR TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 2,,1
3. MANNER OF FILLING TEMPORARY VACANCY IN OFFICE OF TOWN ADMINISTRATOR/MAYOR TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 3,,1
4. EXTENDING THE TIMEFRAME FOR APPOINTMENT FOR TOWN SOLICITOR AND PROBATE JUDGE TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 4,,1
5. ELIMINATING THE RESIDENCY REQUIREMENT FOR THE SEALER OF WEIGHTS AND MEASURES TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 5,,1
6. CONFORMING PURCHASING REQUIREMENTS TO STATE LAW TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 6,,1
7. ELIMINATING THE REQUIREMENT FOR THE CAPITAL PROJECT COMMISSION TO MEET A MINIMUM OF FOUR TIMES PER YEAR TOWN OF BRISTOL,Bristol,TOWN PROPOSITION 7,,1
Non-Partisan Regional School Committee TOWN OF BRISTOL (29936),Bristol,REGIONAL SCHOOL COMMITTEE,,3
Town Administrator TOWN OF BRISTOL (29923),Bristol,TOWN ADMINISTRATOR,,1
Town Clerk TOWN OF BRISTOL (29926),Bristol,TOWN CLERK,,1
Town Council TOWN OF BRISTOL (29929),Bristol,TOWN COUNCIL,,5
"2. SCHOOLS AND SCHOOL FACILITIES $7,000,000 BONDS AND NOTES TOWN OF BURRILLVILLE",Burrillville,TOWN PROPOSITION 2,,1
Non-Partisan School Committee TOWN OF BURRILLVILLE (29946),Burrillville,SCHOOL COMMITTEE,,3
Town Council TOWN OF BURRILLVILLE (29941),Burrillville,TOWN COUNCIL,,3
Non-Partisan City Counci lWard 2 Central Falls Ward 2 (29962),Central Falls,CITY COUNCIL,WARD 2,1
Non-Partisan City Council - At Large CITY OF CENTRAL FALLS (29955),Central Falls,CITY COUNCIL,AT-LARGE,2
Non-Partisan City Council Ward 1 Central Falls Ward 1 (29959),Central Falls,CITY COUNCIL,WARD 1,1
Non-Partisan City CouncilWard 3 Central Falls Ward 3 (29965),Central Falls,CITY COUNCIL,WARD 3,1
Non-Partisan City CouncilWard 4 Central Falls Ward 4 (29968),Central Falls,CITY COUNCIL,WARD 4,1
Non-Partisan City CouncilWard 5 Central Falls Ward 5 (29971),Central Falls,CITY COUNCIL,WARD 5,1
Non-Partisan Mayor CITY OF CENTRAL FALLS (29952),Central Falls,MAYOR,,1
Representative in General Assembly District 56 (29850),Central Falls,STATE HOUSE,56,1
Chariho School Committee TOWN OF CHARLESTOWN (29984),Charlestown,REGIONAL SCHOOL COMMITTEE,,1
