state,county_name,precinct,candidate,votes,office,district,party_detailed,party_simplified
NEW MEXICO,BERNALILLO,PCT 034,GEORGENE LOUIS,252,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 055,GEORGENE LOUIS,237,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 056,GEORGENE LOUIS,524,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 058,GEORGENE LOUIS,141,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 070,GEORGENE LOUIS,342,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 088,GEORGENE LOUIS,15,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 119,GEORGENE LOUIS,518,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 120,GEORGENE LOUIS,440,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 136,GEORGENE LOUIS,361,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 137,GEORGENE LOUIS,388,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 156,GEORGENE LOUIS,278,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 157,GEORGENE LOUIS,336,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 158,GEORGENE LOUIS,460,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 233,GEORGENE LOUIS,243,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 250,GEORGENE LOUIS,316,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 265,GEORGENE LOUIS,326,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 599,GEORGENE LOUIS,311,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 607,GEORGENE LOUIS,309,STATE HOUSE,26,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 360,MARIAN MATTHEWS,208,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 370,MARIAN MATTHEWS,254,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 376,MARIAN MATTHEWS,400,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 380,MARIAN MATTHEWS,145,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 398,MARIAN MATTHEWS,207,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 407,MARIAN MATTHEWS,416,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 420,MARIAN MATTHEWS,254,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 421,MARIAN MATTHEWS,358,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 426,MARIAN MATTHEWS,283,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 427,MARIAN MATTHEWS,253,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 449,MARIAN MATTHEWS,159,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 450,MARIAN MATTHEWS,225,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 451,MARIAN MATTHEWS,291,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 456,MARIAN MATTHEWS,238,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 467,MARIAN MATTHEWS,180,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
NEW MEXICO,BERNALILLO,PCT 468,MARIAN MATTHEWS,340,STATE HOUSE,27,DEMOCRAT,DEMOCRAT
