path,state,county_name,type,notes,build
data/raw/Alaska/alaska_cvr_2020.csv,ALASKA,STATEWIDE,delim,,
data/raw/Arizona/Maricopa,ARIZONA,MARICOPA,json,,
data/raw/Arizona/Pima/cvr.csv,ARIZONA,PIMA,delim,,
data/raw/Arizona/Santa Cruz/cvr_modified.csv,ARIZONA,SANTA CRUZ,delim,,
data/raw/Arizona/Yuma/cvr.csv,ARIZONA,YUMA,delim,,
data/raw/Arkansas/Faulkner/cvr.csv,ARKANSAS,FAULKNER,delim,,
data/raw/Arkansas/Pulaski/cvr.csv,ARKANSAS,PULASKI,delim,,
data/raw/California/Alameda/cvr_headers_merged.csv,CALIFORNIA,ALAMEDA,delim,,
data/raw/California/Amador/cvr.csv,CALIFORNIA,AMADOR,delim,,
data/raw/California/Contra Costa/cvr_headers_merged.csv,CALIFORNIA,CONTRA COSTA,delim,,
data/raw/California/Del Norte,CALIFORNIA,DEL NORTE,json,,
data/raw/California/El Dorado/cvr.csv,CALIFORNIA,EL DORADO,delim,,
data/raw/California/Fresno/Fresno CA.csv,CALIFORNIA,FRESNO,delim,,
data/raw/California/Glenn,CALIFORNIA,GLENN,json,,
data/raw/California/Humboldt,CALIFORNIA,HUMBOLDT,xml,,
data/raw/California/Imperial/cvr.csv,CALIFORNIA,IMPERIAL,delim,,
data/raw/California/Inyo/cvr.csv,CALIFORNIA,INYO,delim,,
data/raw/California/Kern/Kern County - California CVR_Export_20220210140912.csv,CALIFORNIA,KERN,delim,,
data/raw/California/King/cvr_headers_merged.csv,CALIFORNIA,KINGS,delim,,
data/raw/California/Lake,CALIFORNIA,LAKE,xml,,
,CALIFORNIA,LOS ANGELES,special,separate codes,no
data/raw/California/Marin,CALIFORNIA,MARIN,json,,
data/raw/California/Mariposa/cvr.csv,CALIFORNIA,MARIPOSA,delim,,
data/raw/California/Mendocino,CALIFORNIA,MENDOCINO,xml,,
data/raw/California/Merced/cvr_merged.csv,CALIFORNIA,MERCED,delim,,
data/raw/California/Mono/cvr.csv,CALIFORNIA,MONO,delim,,
data/raw/California/Nevada,CALIFORNIA,NEVADA,xml,,
data/raw/California/Orange,CALIFORNIA,ORANGE,xml,,
data/raw/California/Placer/cvr.csv,CALIFORNIA,PLACER,delim,,
data/raw/California/Riverside/cvr_headers_merged.csv,CALIFORNIA,RIVERSIDE,delim,,
data/raw/California/San Benito/cvr_headers_merged.csv,CALIFORNIA,SAN BENITO,delim,,
data/raw/California/San Bernardino,CALIFORNIA,SAN BERNARDINO,json,,
data/raw/California/San Diego/cvr_headers_clean.csv,CALIFORNIA,SAN DIEGO,delim,,
data/raw/California/San Francisco,CALIFORNIA,SAN FRANCISCO,json,,
data/raw/California/San Joaquin,CALIFORNIA,SAN JOAQUIN,xml,,
data/raw/California/San Luis Obispo/cvr.csv,CALIFORNIA,SAN LUIS OBISPO,delim,,
data/raw/California/San Mateo/cvr_headers_merged.csv,CALIFORNIA,SAN MATEO,delim,,
data/raw/California/Santa Barbara/cvr.csv,CALIFORNIA,SANTA BARBARA,delim,,
data/raw/California/Santa Clara/cvr_headers_merged.csv,CALIFORNIA,SANTA CLARA,delim,,
data/raw/California/Santa Cruz/PRA Request - November 2020.csv,CALIFORNIA,SANTA CRUZ,delim,,
data/raw/California/Shasta/cvr.csv,CALIFORNIA,SHASTA,delim,,
data/raw/California/Sonoma/cvr_headers_merged.csv,CALIFORNIA,SONOMA,delim,,
data/raw/California/Stanislaus,CALIFORNIA,STANISLAUS,xml,,
data/raw/California/Sutter,CALIFORNIA,SUTTER,json,,
data/raw/California/Tehama/cvr.csv,CALIFORNIA,TEHAMA,delim,,
data/raw/California/Tuolumne/cvr.csv,CALIFORNIA,TUOLUMNE,delim,,
data/raw/California/Ventura,CALIFORNIA,VENTURA,json,,
data/raw/California/Yuba/cvr_headers_merged.csv,CALIFORNIA,YUBA,delim,,
data/raw/Colorado/Adams/cvr.csv,COLORADO,ADAMS,delim,,
data/raw/Colorado/Alamosa/cvr.csv,COLORADO,ALAMOSA,delim,,
data/raw/Colorado/Arapahoe/cvr.csv,COLORADO,ARAPAHOE,delim,,
data/raw/Colorado/Archuleta/cvr.csv,COLORADO,ARCHULETA,delim,,
data/raw/Colorado/Bent/cvr.csv,COLORADO,BENT,delim,,
data/raw/Colorado/Boulder/cvr.csv,COLORADO,BOULDER,delim,,
data/raw/Colorado/Broomfield/cvr.csv,COLORADO,BROOMFIELD,delim,,
data/raw/Colorado/Chaffee/cvr.CSV,COLORADO,CHAFFEE,delim,,
data/raw/Colorado/Cheyenne/cvr.csv,COLORADO,CHEYENNE,delim,,
data/raw/Colorado/Clear Creek/cvr.csv,COLORADO,CLEAR CREEK,delim,,
data/raw/Colorado/Conejos/cvr.csv,COLORADO,CONEJOS,delim,,
data/raw/Colorado/Costilla/cvr.csv,COLORADO,COSTILLA,delim,,
data/raw/Colorado/Crowley/cvr.csv,COLORADO,CROWLEY,delim,,
data/raw/Colorado/Custer/cvr.csv,COLORADO,CUSTER,delim,,
data/raw/Colorado/Delta/cvr.csv,COLORADO,DELTA,delim,,
data/raw/Colorado/Denver/cvr_headers_merged.csv,COLORADO,DENVER,delim,,
data/raw/Colorado/Dolores/cvr2.csv,COLORADO,DOLORES,delim,had to delete last row of totals,
data/raw/Colorado/Douglas/cvr.csv,COLORADO,DOUGLAS,delim,,
data/raw/Colorado/Eagle/cvr_headers_merged.csv,COLORADO,EAGLE,delim,,
data/raw/Colorado/El Paso/cvr.csv,COLORADO,EL PASO,delim,,
data/raw/Colorado/Elbert/cvr.csv,COLORADO,ELBERT,delim,,
data/raw/Colorado/Fremont/cvr.csv,COLORADO,FREMONT,delim,,
data/raw/Colorado/Garfield/cvr.csv,COLORADO,GARFIELD,delim,header but needs some rows added,
data/raw/Colorado/Gilpin/cvr.csv,COLORADO,GILPIN,delim,,
data/raw/Colorado/Grand/cvr.csv,COLORADO,GRAND,delim,,
data/raw/Colorado/Gunnison/cvr.csv,COLORADO,GUNNISON,delim,,
data/raw/Colorado/Hinsdale/cvr.csv,COLORADO,HINSDALE,delim,,
data/raw/Colorado/Huerfano/cvr.csv,COLORADO,HUERFANO,delim,,
data/raw/Colorado/Jackson/cvr.csv,COLORADO,JACKSON,delim,,
data/raw/Colorado/Jefferson/cvr.csv,COLORADO,JEFFERSON,delim,,
data/raw/Colorado/Kiowa/cvr.csv,COLORADO,KIOWA,delim,,
data/raw/Colorado/Kit Carson/cvr.csv,COLORADO,KIT CARSON,delim,,
data/raw/Colorado/La Plata/cvr.csv,COLORADO,LA PLATA,delim,,
data/raw/Colorado/Lake/cvr.csv,COLORADO,LAKE,delim,,
data/raw/Colorado/Larimer/cvr.csv,COLORADO,LARIMER,delim,,
data/raw/Colorado/Las Animas/cvr.csv,COLORADO,LAS ANIMAS,delim,,no
data/raw/Colorado/Lincoln/cvr.csv,COLORADO,LINCOLN,delim,,
data/raw/Colorado/Logan/cvr.csv,COLORADO,LOGAN,delim,,
data/raw/Colorado/Mesa/cvr.csv,COLORADO,MESA,delim,,
data/raw/Colorado/Mineral/cvr.csv,COLORADO,MINERAL,delim,,
data/raw/Colorado/Moffat/cvr.csv,COLORADO,MOFFAT,delim,,
data/raw/Colorado/Montezuma/cvr.csv,COLORADO,MONTEZUMA,delim,,
data/raw/Colorado/Montrose/cvr.csv,COLORADO,MONTROSE,delim,,
data/raw/Colorado/Morgan/cvr.csv,COLORADO,MORGAN,delim,,
data/raw/Colorado/Otero/cvr.csv,COLORADO,OTERO,delim,,
data/raw/Colorado/Ouray/cvr.csv,COLORADO,OURAY,delim,,
data/raw/Colorado/Park/cvr.csv,COLORADO,PARK,delim,,
data/raw/Colorado/Phillips/cvr.csv,COLORADO,PHILLIPS,delim,,
data/raw/Colorado/Pitkin/cvr.csv,COLORADO,PITKIN,delim,,
data/raw/Colorado/Prowers/cvr.csv,COLORADO,PROWERS,delim,,
data/raw/Colorado/Pueblo/cvr.csv,COLORADO,PUEBLO,delim,,
data/raw/Colorado/Rio Blanco/cvr.csv,COLORADO,RIO BLANCO,delim,,
data/raw/Colorado/Rio Grande/cvr.csv,COLORADO,RIO GRANDE,delim,,
data/raw/Colorado/Routt/cvr_headers_merged.csv,COLORADO,ROUTT,delim,,
data/raw/Colorado/Saguache/cvr.csv,COLORADO,SAGUACHE,delim,,
data/raw/Colorado/San Miguel/cvr.csv,COLORADO,SAN MIGUEL,delim,,
data/raw/Colorado/Sedgwick/cvr.csv,COLORADO,SEDGWICK,delim,,
data/raw/Colorado/Summit/cvr.csv,COLORADO,SUMMIT,delim,,
data/raw/Colorado/Teller/cvr.csv,COLORADO,TELLER,delim,,
data/raw/Colorado/Washington/cvr.csv,COLORADO,WASHINGTON,delim,,
data/raw/Colorado/Weld/cvr.csv,COLORADO,WELD,delim,,
data/raw/Colorado/Yuma/cvr.csv,COLORADO,YUMA,delim,,
data/raw/Delaware/cvr.csv,DELAWARE,STATEWIDE,delim,,
data/raw/District of Columbia/cvr.csv,DISTRICT OF COLUMBIA,STATEWIDE,delim,,
data/raw/Florida/Bay/cvr.csv,FLORIDA,BAY,delim,,
data/raw/Florida/Bradford/cvr.csv,FLORIDA,BRADFORD,delim,,
data/raw/Florida/Brevard/BrevardCVR.csv,FLORIDA,BREVARD,delim,,
data/raw/Florida/Broward/cvr.csv,FLORIDA,BROWARD,delim,,
data/raw/Florida/Calhoun/cvr.csv,FLORIDA,CALHOUN,delim,,
data/raw/Florida/Citrus/cvr.csv,FLORIDA,CITRUS,delim,,
data/raw/Florida/Clay/cvr.csv,FLORIDA,CLAY,delim,,
data/raw/Florida/Collier/CollierCVR.csv,FLORIDA,COLLIER,delim,,
data/raw/Florida/Duval/cvr.csv,FLORIDA,DUVAL,delim,,
data/raw/Florida/Escambia/cvr.csv,FLORIDA,ESCAMBIA,delim,,
data/raw/Florida/Flagler/cvr.csv,FLORIDA,FLAGLER,delim,,
data/raw/Florida/Gadsden/cvr.csv,FLORIDA,GADSDEN,delim,,
data/raw/Florida/Gulf/cvr.csv,FLORIDA,GULF,delim,,
data/raw/Florida/Hamilton/cvr.csv,FLORIDA,HAMILTON,delim,,
data/raw/Florida/Highlands/cvr.csv,FLORIDA,HIGHLANDS,delim,,
data/raw/Florida/Hillsborough/cvr.csv,FLORIDA,HILLSBOROUGH,delim,,
data/raw/Florida/Holmes/cvr.csv,FLORIDA,HOLMES,delim,,
data/raw/Florida/Indian River/cvr.csv,FLORIDA,INDIAN RIVER,delim,,
data/raw/Florida/Jackson/cvr.csv,FLORIDA,JACKSON,delim,,
data/raw/Florida/Lafayette/cvr.csv,FLORIDA,LAFAYETTE,delim,,
data/raw/Florida/Lake/cvr.csv,FLORIDA,LAKE,delim,,
,FLORIDA,LEE,special,multiple excels,
,FLORIDA,MANATEE,special,multiple excels,
,FLORIDA,MARION,special,multiple excels,
data/raw/Florida/Martin/MartinFL2020 General CVR.xlsx,FLORIDA,MARTIN,delim,,
data/raw/Florida/Miami Dade/cvr.csv,FLORIDA,MIAMI-DADE,delim,,
data/raw/Florida/Nassau/cvr.csv,FLORIDA,NASSAU,delim,,
data/raw/Florida/Okaloosa/Okaloosa FL part 1.csv,FLORIDA,OKALOOSA,delim,,
data/raw/Florida/Orange/cvr.csv,FLORIDA,ORANGE,delim,,
data/raw/Florida/Palm Beach/cvr.csv,FLORIDA,PALM BEACH,delim,,
data/raw/Florida/Pasco/cvr.csv,FLORIDA,PASCO,delim,,
,FLORIDA,SANTA ROSA,special,multiple excels,
,FLORIDA,SARASOTA,special,multiple excels,
data/raw/Florida/St Johns/2020General_CVR_AllContests.csv,FLORIDA,ST JOHNS,delim,,
data/raw/Florida/Sumter/Total Cast vote record(1).xlsx,FLORIDA,SUMTER,delim,,
data/raw/Florida/Wakulla/Wakulla CVR 2020.xlsx,FLORIDA,WAKULLA,delim,,
data/raw/Florida/Walton/Walton FL CVR.csv,FLORIDA,WALTON,special,,
data/raw/Georgia/Bacon/CVR_Export_20220812141419NOV2020.csv,GEORGIA,BACON,delim,,
data/raw/Georgia/Barrow/Barrow CVR_Export_20220414164623.csv,GEORGIA,BARROW,delim,,
data/raw/Georgia/Bartow/Bartow CVR_Export_20220815114818.csv,GEORGIA,BARTOW,delim,,
"data/raw/Georgia/Ben Hill/Ben Hill County, GA CVR.csv",GEORGIA,BEN HILL,delim,,
data/raw/Georgia/Berrien/Berrien CVR .csv,GEORGIA,BERRIEN,delim,,
data/raw/Georgia/Bibb/cvr.csv,GEORGIA,BIBB,delim,,
"data/raw/Georgia/Bleckly/Bleckley County, GA CVR.csv",GEORGIA,BLECKLEY,delim,,
"data/raw/Georgia/Brantley/Brantley County, GA CVR.csv",GEORGIA,BRANTLEY,delim,,
data/raw/Georgia/Bryan/CVR_Export_20220823153711.csv,GEORGIA,BRYAN,delim,,
data/raw/Georgia/Burke/Burke CVR 11.3.2020.csv,GEORGIA,BURKE,delim,,
"data/raw/Georgia/Camden/Camden County, GA.csv",GEORGIA,CAMDEN,delim,,
data/raw/Georgia/Candler/cvr.csv,GEORGIA,CANDLER,delim,,
data/raw/Georgia/Carroll/CVR_Export_Carroll Nov 2020 General.csv,GEORGIA,CARROLL,delim,,
data/raw/Georgia/Catoosa/cvrr.csv,GEORGIA,CATOOSA,delim,,
data/raw/Georgia/Charlton/CVR_Export_20220811124240.csv,GEORGIA,CHARLTON,delim,,
data/raw/Georgia/Chatham/cvr.csv,GEORGIA,CHATHAM,delim,,
data/raw/Georgia/Chatooga/Chatooga GA.csv,GEORGIA,CHATTOOGA,delim,,
data/raw/Georgia/Cherokee/CVR_Export_20220601100156.csv,GEORGIA,CHEROKEE,delim,,
data/raw/Georgia/Clarke/Clarke County GA CVR.csv,GEORGIA,CLARKE,delim,,
data/raw/Georgia/Cobb/cvr.csv,GEORGIA,COBB,delim,,
data/raw/Georgia/Colquitt/cvr.csv,GEORGIA,COLQUITT,delim,,
data/raw/Georgia/Columbia/cvr.csv,GEORGIA,COLUMBIA,delim,,
data/raw/Georgia/Cook/cvr.csv,GEORGIA,COOK,delim,,
data/raw/Georgia/Crisp/Crisp 2020 CVR.csv,GEORGIA,CRISP,delim,,
data/raw/Georgia/Dade/2020 General.csv,GEORGIA,DADE,delim,,
data/raw/Georgia/Dawson/cvr.csv,GEORGIA,DAWSON,delim,,
data/raw/Georgia/DeKalb/cvr.csv,GEORGIA,DEKALB,delim,,
data/raw/Georgia/Douglas/cvr.csv,GEORGIA,DOUGLAS,delim,,
"data/raw/Georgia/Early/Early County, GA CVR.csv",GEORGIA,EARLY,delim,,
data/raw/Georgia/Echols/cvr.csv,GEORGIA,ECHOLS,delim,,
data/raw/Georgia/Elbert/cvr.csv,GEORGIA,ELBERT,delim,,
data/raw/Georgia/Emmanuel/cvr.csv,GEORGIA,EMANUEL,delim,,
data/raw/Georgia/Fayette/CVR_Export_20220404100656.csv,GEORGIA,FAYETTE,delim,,
data/raw/Georgia/Floyd/Floyd GA CVR.csv,GEORGIA,FLOYD,delim,,
data/raw/Georgia/Forsyth/CVR_Export_20220217134745.csv,GEORGIA,FORSYTH,delim,,
data/raw/Georgia/Franklin,GEORGIA,FRANKLIN,json,,
