state,county_name,office,district,candidate,column,magnitude,party,party_detailed
ALASKA,STATEWIDE,STATE HOUSE,001,"QUIST, CHRISTOPHER",60,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,001,"LEBON, BARTON S. BART",59,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,001,WRITE-IN,61,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,001,UNDERVOTE?,59,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,002,"YOUMANS, JEREMIAH A.",62,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,002,"THOMPSON, STEVE M.",63,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,002,WRITE-IN,64,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,002,UNDERVOTE?,62,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,003,"PRAX, GLENN M. MIKE",65,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,003,WRITE-IN,66,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,003,UNDERVOTE?,65,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,004,"HOPKINS, GRIER H.",67,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,004,"KURBER, KEITH",68,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,004,WRITE-IN,69,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,004,UNDERVOTE?,67,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,005,"WOOL, ADAM L.",71,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,005,"MCKINLEY, KEVIN M.",70,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,005,WRITE-IN,72,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,005,UNDERVOTE?,70,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,006,"HNILICKA, JULIA A.",76,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,006,"CARLSON, VERNON J.",74,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,006,"RILEY, DEBORAH W.",77,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,006,"VERHAGEN, ELIJAH M.",73,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,006,"CRONK, MIKE",75,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,006,WRITE-IN,78,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,006,UNDERVOTE?,73,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,007,"BURTON, JAMIN L.",80,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,007,"KURKA, CHRISTOPHER",79,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,007,WRITE-IN,81,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,007,UNDERVOTE?,79,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,008,"HARTLEY, ALMA N.",82,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,008,"MCCABE, KEVIN J.",83,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,008,WRITE-IN,84,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,008,UNDERVOTE?,82,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,009,"JOHNSON, BILL",86,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,009,"RAUSCHER, GEORGE",85,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,009,WRITE-IN,87,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,009,UNDERVOTE?,85,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,010,"STEIN-OLSON, MONICA L.",89,1,DEM,DEMOCRAT
