st,state,county_name,county_fips
AL,Alabama,AUTAUGA,1001
AL,Alabama,BALDWIN,1003
AL,Alabama,BARBOUR,1005
AL,Alabama,BIBB,1007
AL,Alabama,BLOUNT,1009
AL,Alabama,BULLOCK,1011
AL,Alabama,BUTLER,1013
AL,Alabama,CALHOUN,1015
AL,Alabama,CHAMBERS,1017
AL,Alabama,CHEROKEE,1019
AL,Alabama,CHILTON,1021
AL,Alabama,CHOCTAW,1023
AL,Alabama,CLARKE,1025
AL,Alabama,CLAY,1027
AL,Alabama,CLEBURNE,1029
AL,Alabama,COFFEE,1031
AL,Alabama,COLBERT,1033
AL,Alabama,CONECUH,1035
AL,Alabama,COOSA,1037
AL,Alabama,COVINGTON,1039
AL,Alabama,CRENSHAW,1041
AL,Alabama,CULLMAN,1043
AL,Alabama,DALE,1045
AL,Alabama,DALLAS,1047
AL,Alabama,DEKALB,1049
AL,Alabama,ELMORE,1051
AL,Alabama,ESCAMBIA,1053
AL,Alabama,ETOWAH,1055
AL,Alabama,FAYETTE,1057
AL,Alabama,FRANKLIN,1059
AL,Alabama,GENEVA,1061
AL,Alabama,GREENE,1063
AL,Alabama,HALE,1065
AL,Alabama,HENRY,1067
AL,Alabama,HOUSTON,1069
AL,Alabama,JACKSON,1071
AL,Alabama,JEFFERSON,1073
AL,Alabama,LAMAR,1075
AL,Alabama,LAUDERDALE,1077
AL,Alabama,LAWRENCE,1079
AL,Alabama,LEE,1081
AL,Alabama,LIMESTONE,1083
AL,Alabama,LOWNDES,1085
AL,Alabama,MACON,1087
AL,Alabama,MADISON,1089
AL,Alabama,MARENGO,1091
AL,Alabama,MARION,1093
AL,Alabama,MARSHALL,1095
AL,Alabama,MOBILE,1097
AL,Alabama,MONROE,1099
AL,Alabama,MONTGOMERY,1101
AL,Alabama,MORGAN,1103
AL,Alabama,PERRY,1105
AL,Alabama,PICKENS,1107
AL,Alabama,PIKE,1109
AL,Alabama,RANDOLPH,1111
AL,Alabama,RUSSELL,1113
AL,Alabama,ST. CLAIR,1115
AL,Alabama,SHELBY,1117
AL,Alabama,SUMTER,1119
AL,Alabama,TALLADEGA,1121
AL,Alabama,TALLAPOOSA,1123
AL,Alabama,TUSCALOOSA,1125
AL,Alabama,WALKER,1127
AL,Alabama,WASHINGTON,1129
AL,Alabama,WILCOX,1131
AL,Alabama,WINSTON,1133
AK,Alaska,DISTRICT 1,2001
AK,Alaska,DISTRICT 2,2002
AK,Alaska,DISTRICT 3,2003
AK,Alaska,DISTRICT 4,2004
AK,Alaska,DISTRICT 5,2005
AK,Alaska,DISTRICT 6,2006
AK,Alaska,DISTRICT 7,2007
AK,Alaska,DISTRICT 8,2008
AK,Alaska,DISTRICT 9,2009
AK,Alaska,DISTRICT 10,2010
AK,Alaska,DISTRICT 11,2011
AK,Alaska,DISTRICT 12,2012
AK,Alaska,DISTRICT 13,2013
AK,Alaska,DISTRICT 14,2014
AK,Alaska,DISTRICT 15,2015
AK,Alaska,DISTRICT 16,2016
AK,Alaska,DISTRICT 17,2017
AK,Alaska,DISTRICT 18,2018
AK,Alaska,DISTRICT 19,2019
AK,Alaska,DISTRICT 20,2020
AK,Alaska,DISTRICT 21,2021
AK,Alaska,DISTRICT 22,2022
AK,Alaska,DISTRICT 23,2023
AK,Alaska,DISTRICT 24,2024
AK,Alaska,DISTRICT 25,2025
AK,Alaska,DISTRICT 26,2026
AK,Alaska,DISTRICT 27,2027
AK,Alaska,DISTRICT 28,2028
AK,Alaska,DISTRICT 29,2029
AK,Alaska,DISTRICT 30,2030
AK,Alaska,DISTRICT 31,2031
AK,Alaska,DISTRICT 32,2032
AK,Alaska,DISTRICT 33,2033
AK,Alaska,DISTRICT 34,2034
AK,Alaska,DISTRICT 35,2035
AK,Alaska,DISTRICT 36,2036
AK,Alaska,DISTRICT 37,2037
AK,Alaska,DISTRICT 38,2038
AK,Alaska,DISTRICT 39,2039
AK,Alaska,DISTRICT 40,2040
AK,Alaska,DISTRICT 99,2099
AZ,Arizona,APACHE,4001
AZ,Arizona,COCHISE,4003
AZ,Arizona,COCONINO,4005
AZ,Arizona,GILA,4007
AZ,Arizona,GRAHAM,4009
AZ,Arizona,GREENLEE,4011
AZ,Arizona,LA PAZ,4012
AZ,Arizona,MARICOPA,4013
AZ,Arizona,MOHAVE,4015
AZ,Arizona,NAVAJO,4017
AZ,Arizona,PIMA,4019
AZ,Arizona,PINAL,4021
AZ,Arizona,SANTA CRUZ,4023
AZ,Arizona,YAVAPAI,4025
AZ,Arizona,YUMA,4027
AR,Arkansas,ARKANSAS,5001
AR,Arkansas,ASHLEY,5003
AR,Arkansas,BAXTER,5005
AR,Arkansas,BENTON,5007
AR,Arkansas,BOONE,5009
AR,Arkansas,BRADLEY,5011
AR,Arkansas,CALHOUN,5013
AR,Arkansas,CARROLL,5015
AR,Arkansas,CHICOT,5017
AR,Arkansas,CLARK,5019
AR,Arkansas,CLAY,5021
AR,Arkansas,CLEBURNE,5023
AR,Arkansas,CLEVELAND,5025
AR,Arkansas,COLUMBIA,5027
AR,Arkansas,CONWAY,5029
AR,Arkansas,CRAIGHEAD,5031
AR,Arkansas,CRAWFORD,5033
AR,Arkansas,CRITTENDEN,5035
AR,Arkansas,CROSS,5037
AR,Arkansas,DALLAS,5039
AR,Arkansas,DESHA,5041
AR,Arkansas,DREW,5043
AR,Arkansas,FAULKNER,5045
AR,Arkansas,FRANKLIN,5047
AR,Arkansas,FULTON,5049
AR,Arkansas,GARLAND,5051
AR,Arkansas,GRANT,5053
AR,Arkansas,GREENE,5055
AR,Arkansas,HEMPSTEAD,5057
AR,Arkansas,HOT SPRING,5059
AR,Arkansas,HOWARD,5061
AR,Arkansas,INDEPENDENCE,5063
AR,Arkansas,IZARD,5065
AR,Arkansas,JACKSON,5067
AR,Arkansas,JEFFERSON,5069
AR,Arkansas,JOHNSON,5071
AR,Arkansas,LAFAYETTE,5073
AR,Arkansas,LAWRENCE,5075
AR,Arkansas,LEE,5077
AR,Arkansas,LINCOLN,5079
AR,Arkansas,LITTLE RIVER,5081
AR,Arkansas,LOGAN,5083
AR,Arkansas,LONOKE,5085
AR,Arkansas,MADISON,5087
AR,Arkansas,MARION,5089
AR,Arkansas,MILLER,5091
AR,Arkansas,MISSISSIPPI,5093
AR,Arkansas,MONROE,5095
AR,Arkansas,MONTGOMERY,5097
AR,Arkansas,NEVADA,5099
AR,Arkansas,NEWTON,5101
AR,Arkansas,OUACHITA,5103
AR,Arkansas,PERRY,5105
AR,Arkansas,PHILLIPS,5107
AR,Arkansas,PIKE,5109
AR,Arkansas,POINSETT,5111
AR,Arkansas,POLK,5113
AR,Arkansas,POPE,5115
AR,Arkansas,PRAIRIE,5117
AR,Arkansas,PULASKI,5119
AR,Arkansas,RANDOLPH,5121
AR,Arkansas,ST. FRANCIS,5123
AR,Arkansas,SALINE,5125
AR,Arkansas,SCOTT,5127
AR,Arkansas,SEARCY,5129
AR,Arkansas,SEBASTIAN,5131
AR,Arkansas,SEVIER,5133
AR,Arkansas,SHARP,5135
AR,Arkansas,STONE,5137
AR,Arkansas,UNION,5139
AR,Arkansas,VAN BUREN,5141
AR,Arkansas,WASHINGTON,5143
AR,Arkansas,WHITE,5145
AR,Arkansas,WOODRUFF,5147
AR,Arkansas,YELL,5149
CA,California,ALAMEDA,6001
CA,California,ALPINE,6003
CA,California,AMADOR,6005
CA,California,BUTTE,6007
CA,California,CALAVERAS,6009
CA,California,COLUSA,6011
CA,California,CONTRA COSTA,6013
CA,California,DEL NORTE,6015
CA,California,EL DORADO,6017
CA,California,FRESNO,6019
CA,California,GLENN,6021
CA,California,HUMBOLDT,6023
CA,California,IMPERIAL,6025
CA,California,INYO,6027
CA,California,KERN,6029
CA,California,KINGS,6031
CA,California,LAKE,6033
CA,California,LASSEN,6035
CA,California,LOS ANGELES,6037
CA,California,MADERA,6039
CA,California,MARIN,6041
CA,California,MARIPOSA,6043
CA,California,MENDOCINO,6045
CA,California,MERCED,6047
CA,California,MODOC,6049
CA,California,MONO,6051
CA,California,MONTEREY,6053
CA,California,NAPA,6055
CA,California,NEVADA,6057
CA,California,ORANGE,6059
CA,California,PLACER,6061
CA,California,PLUMAS,6063
CA,California,RIVERSIDE,6065
CA,California,SACRAMENTO,6067
CA,California,SAN BENITO,6069
CA,California,SAN BERNARDINO,6071
CA,California,SAN DIEGO,6073
CA,California,SAN FRANCISCO,6075
CA,California,SAN JOAQUIN,6077
CA,California,SAN LUIS OBISPO,6079
CA,California,SAN MATEO,6081
CA,California,SANTA BARBARA,6083
CA,California,SANTA CLARA,6085
CA,California,SANTA CRUZ,6087
CA,California,SHASTA,6089
CA,California,SIERRA,6091
CA,California,SISKIYOU,6093
CA,California,SOLANO,6095
CA,California,SONOMA,6097
CA,California,STANISLAUS,6099
CA,California,SUTTER,6101
CA,California,TEHAMA,6103
CA,California,TRINITY,6105
CA,California,TULARE,6107
CA,California,TUOLUMNE,6109
CA,California,VENTURA,6111
CA,California,YOLO,6113
CA,California,YUBA,6115
CO,Colorado,ADAMS,8001
CO,Colorado,ALAMOSA,8003
CO,Colorado,ARAPAHOE,8005
CO,Colorado,ARCHULETA,8007
CO,Colorado,BACA,8009
CO,Colorado,BENT,8011
CO,Colorado,BOULDER,8013
CO,Colorado,BROOMFIELD,8014
CO,Colorado,CHAFFEE,8015
CO,Colorado,CHEYENNE,8017
CO,Colorado,CLEAR CREEK,8019
CO,Colorado,CONEJOS,8021
CO,Colorado,COSTILLA,8023
CO,Colorado,CROWLEY,8025
CO,Colorado,CUSTER,8027
CO,Colorado,DELTA,8029
CO,Colorado,DENVER,8031
CO,Colorado,DOLORES,8033
CO,Colorado,DOUGLAS,8035
CO,Colorado,EAGLE,8037
CO,Colorado,ELBERT,8039
CO,Colorado,EL PASO,8041
CO,Colorado,FREMONT,8043
CO,Colorado,GARFIELD,8045
CO,Colorado,GILPIN,8047
CO,Colorado,GRAND,8049
CO,Colorado,GUNNISON,8051
CO,Colorado,HINSDALE,8053
CO,Colorado,HUERFANO,8055
CO,Colorado,JACKSON,8057
CO,Colorado,JEFFERSON,8059
CO,Colorado,KIOWA,8061
CO,Colorado,KIT CARSON,8063
CO,Colorado,LAKE,8065
CO,Colorado,LA PLATA,8067
CO,Colorado,LARIMER,8069
CO,Colorado,LAS ANIMAS,8071
CO,Colorado,LINCOLN,8073
CO,Colorado,LOGAN,8075
CO,Colorado,MESA,8077
CO,Colorado,MINERAL,8079
CO,Colorado,MOFFAT,8081
CO,Colorado,MONTEZUMA,8083
CO,Colorado,MONTROSE,8085
CO,Colorado,MORGAN,8087
CO,Colorado,OTERO,8089
CO,Colorado,OURAY,8091
CO,Colorado,PARK,8093
CO,Colorado,PHILLIPS,8095
CO,Colorado,PITKIN,8097
CO,Colorado,PROWERS,8099
CO,Colorado,PUEBLO,8101
CO,Colorado,RIO BLANCO,8103
CO,Colorado,RIO GRANDE,8105
CO,Colorado,ROUTT,8107
CO,Colorado,SAGUACHE,8109
CO,Colorado,SAN JUAN,8111
CO,Colorado,SAN MIGUEL,8113
CO,Colorado,SEDGWICK,8115
CO,Colorado,SUMMIT,8117
CO,Colorado,TELLER,8119
CO,Colorado,WASHINGTON,8121
CO,Colorado,WELD,8123
CO,Colorado,YUMA,8125
CT,Connecticut,FAIRFIELD,9001
CT,Connecticut,HARTFORD,9003
CT,Connecticut,LITCHFIELD,9005
CT,Connecticut,MIDDLESEX,9007
CT,Connecticut,NEW HAVEN,9009
CT,Connecticut,NEW LONDON,9011
CT,Connecticut,TOLLAND,9013
CT,Connecticut,WINDHAM,9015
DE,Delaware,KENT,10001
DE,Delaware,NEW CASTLE,10003
DE,Delaware,SUSSEX,10005
FL,Florida,ALACHUA,12001
FL,Florida,BAKER,12003
FL,Florida,BAY,12005
FL,Florida,BRADFORD,12007
FL,Florida,BREVARD,12009
FL,Florida,BROWARD,12011
FL,Florida,CALHOUN,12013
FL,Florida,CHARLOTTE,12015
FL,Florida,CITRUS,12017
FL,Florida,CLAY,12019
FL,Florida,COLLIER,12021
FL,Florida,COLUMBIA,12023
FL,Florida,DESOTO,12027
FL,Florida,DIXIE,12029
FL,Florida,DUVAL,12031
FL,Florida,ESCAMBIA,12033
FL,Florida,FLAGLER,12035
FL,Florida,FRANKLIN,12037
FL,Florida,GADSDEN,12039
FL,Florida,GILCHRIST,12041
FL,Florida,GLADES,12043
FL,Florida,GULF,12045
FL,Florida,HAMILTON,12047
FL,Florida,HARDEE,12049
FL,Florida,HENDRY,12051
FL,Florida,HERNANDO,12053
FL,Florida,HIGHLANDS,12055
FL,Florida,HILLSBOROUGH,12057
FL,Florida,HOLMES,12059
FL,Florida,INDIAN RIVER,12061
FL,Florida,JACKSON,12063
FL,Florida,JEFFERSON,12065
FL,Florida,LAFAYETTE,12067
FL,Florida,LAKE,12069
FL,Florida,LEE,12071
FL,Florida,LEON,12073
FL,Florida,LEVY,12075
FL,Florida,LIBERTY,12077
FL,Florida,MADISON,12079
FL,Florida,MANATEE,12081
FL,Florida,MARION,12083
FL,Florida,MARTIN,12085
FL,Florida,MIAMI-DADE,12086
FL,Florida,MONROE,12087
FL,Florida,NASSAU,12089
